Date,ThreeMO,SixMO,TenYR
10/18/2019,1.66,1.63,1.76
10/17/2019,1.66,1.63,1.76
10/16/2019,1.66,1.64,1.75
10/15/2019,1.67,1.67,1.77
10/11/2019,1.68,1.68,1.76
10/10/2019,1.68,1.68,1.67
10/9/2019,1.69,1.69,1.59
10/8/2019,1.72,1.69,1.54
10/7/2019,1.75,1.73,1.56
10/4/2019,1.71,1.65,1.52
10/3/2019,1.7,1.66,1.54
10/2/2019,1.79,1.75,1.6
10/1/2019,1.82,1.81,1.65
9/30/2019,1.88,1.83,1.68
9/27/2019,1.8,1.85,1.69
9/26/2019,1.83,1.88,1.7
9/25/2019,1.89,1.9,1.73
9/24/2019,1.92,1.91,1.64
9/23/2019,1.94,1.93,1.72
9/20/2019,1.91,1.91,1.74
9/19/2019,1.93,1.92,1.79
9/18/2019,1.95,1.91,1.8
9/17/2019,1.99,1.93,1.81
9/16/2019,1.99,1.93,1.84
9/13/2019,1.96,1.92,1.9
9/12/2019,1.95,1.9,1.79
9/11/2019,1.96,1.88,1.75
9/10/2019,1.95,1.89,1.72
9/9/2019,1.96,1.87,1.63
9/6/2019,1.96,1.88,1.55
9/5/2019,1.97,1.88,1.57
9/4/2019,1.97,1.87,1.47
9/3/2019,1.98,1.88,1.47
8/30/2019,1.99,1.89,1.5
8/29/2019,1.99,1.89,1.5
8/28/2019,1.99,1.89,1.47
8/27/2019,1.98,1.94,1.49
8/26/2019,2.01,1.9,1.54
8/23/2019,1.97,1.87,1.52
8/22/2019,2,1.91,1.62
8/21/2019,1.97,1.9,1.59
8/20/2019,1.94,1.89,1.55
8/19/2019,1.94,1.9,1.6
8/16/2019,1.87,1.85,1.55
8/15/2019,1.91,1.86,1.52
8/14/2019,1.96,1.92,1.59
8/13/2019,2,1.96,1.68
8/12/2019,2,1.94,1.65
8/9/2019,2,1.95,1.74
8/8/2019,2.02,1.96,1.72
8/7/2019,2.02,1.95,1.71
8/6/2019,2.05,2,1.73
8/5/2019,2.05,1.99,1.75
8/2/2019,2.06,2.02,1.86
8/1/2019,2.07,2.04,1.9
7/31/2019,2.08,2.1,2.02
7/30/2019,2.08,2.07,2.06
7/29/2019,2.12,2.1,2.06
7/26/2019,2.12,2.1,2.08
7/25/2019,2.1,2.08,2.08
7/24/2019,2.1,2.08,2.05
7/23/2019,2.06,2.09,2.08
7/22/2019,2.09,2.08,2.05
7/19/2019,2.06,2.03,2.05
7/18/2019,2.05,2.01,2.04
7/17/2019,2.14,2.04,2.06
7/16/2019,2.15,2.06,2.13
7/15/2019,2.16,2.06,2.09
7/12/2019,2.14,2.07,2.12
7/11/2019,2.17,2.08,2.13
7/10/2019,2.2,2.07,2.07
7/9/2019,2.26,2.15,2.07
7/8/2019,2.26,2.14,2.05
7/5/2019,2.23,2.14,2.04
7/3/2019,2.21,2.08,1.96
7/2/2019,2.2,2.09,1.98
7/1/2019,2.21,2.1,2.03
6/28/2019,2.12,2.09,2
6/27/2019,2.14,2.12,2.01
6/26/2019,2.15,2.12,2.05
6/25/2019,2.12,2.1,2
6/24/2019,2.13,2.1,2.02
6/21/2019,2.11,2.05,2.07
6/20/2019,2.14,2.04,2.01
6/19/2019,2.18,2.11,2.03
6/18/2019,2.22,2.2,2.06
6/17/2019,2.23,2.2,2.09
6/14/2019,2.2,2.18,2.09
6/13/2019,2.19,2.18,2.1
6/12/2019,2.24,2.2,2.13
6/11/2019,2.27,2.21,2.15
6/10/2019,2.29,2.21,2.15
6/7/2019,2.28,2.15,2.09
6/6/2019,2.33,2.22,2.12
6/5/2019,2.35,2.25,2.12
6/4/2019,2.35,2.29,2.12
6/3/2019,2.35,2.31,2.07
5/31/2019,2.35,2.35,2.14
5/30/2019,2.38,2.4,2.22
5/29/2019,2.37,2.38,2.25
5/28/2019,2.37,2.38,2.26
5/24/2019,2.35,2.39,2.32
5/23/2019,2.37,2.4,2.31
5/22/2019,2.38,2.41,2.39
5/21/2019,2.39,2.42,2.43
5/20/2019,2.39,2.42,2.41
5/17/2019,2.39,2.42,2.39
5/16/2019,2.4,2.43,2.4
5/15/2019,2.42,2.43,2.37
5/14/2019,2.41,2.43,2.42
5/13/2019,2.41,2.42,2.4
5/10/2019,2.43,2.45,2.47
5/9/2019,2.43,2.46,2.45
5/8/2019,2.43,2.45,2.49
5/7/2019,2.43,2.46,2.45
5/6/2019,2.44,2.46,2.51
5/3/2019,2.43,2.46,2.54
5/2/2019,2.47,2.46,2.55
5/1/2019,2.43,2.44,2.52
4/30/2019,2.43,2.46,2.51
4/29/2019,2.44,2.47,2.54
4/26/2019,2.42,2.46,2.51
4/25/2019,2.43,2.46,2.54
4/24/2019,2.44,2.46,2.53
4/23/2019,2.45,2.46,2.57
4/22/2019,2.44,2.47,2.59
4/18/2019,2.42,2.47,2.57
4/17/2019,2.44,2.47,2.59
4/16/2019,2.43,2.47,2.6
4/15/2019,2.43,2.46,2.55
4/12/2019,2.44,2.47,2.56
4/11/2019,2.43,2.46,2.51
4/10/2019,2.43,2.46,2.48
4/9/2019,2.42,2.46,2.51
4/8/2019,2.43,2.48,2.52
4/5/2019,2.44,2.46,2.5
4/4/2019,2.44,2.46,2.51
4/3/2019,2.44,2.45,2.52
4/2/2019,2.42,2.45,2.48
4/1/2019,2.43,2.46,2.49
3/29/2019,2.4,2.44,2.41
3/28/2019,2.43,2.44,2.39
3/27/2019,2.44,2.46,2.39
3/26/2019,2.46,2.49,2.41
3/25/2019,2.46,2.49,2.43
3/22/2019,2.46,2.48,2.44
3/21/2019,2.49,2.5,2.54
3/20/2019,2.48,2.49,2.54
3/19/2019,2.46,2.52,2.61
3/18/2019,2.44,2.51,2.6
3/15/2019,2.45,2.52,2.59
3/14/2019,2.45,2.52,2.63
3/13/2019,2.45,2.53,2.61
3/12/2019,2.46,2.53,2.61
3/11/2019,2.46,2.54,2.64
3/8/2019,2.46,2.52,2.62
