playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abadan01,2001,1,OAK,AL,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
abbotje01,2001,1,FLO,NL,28,42,5,11,3,0,0,5.0,0.0,0.0,3,7.0,0.0,1.0,0.0,0.0,1.0
abbotku01,2001,1,ATL,NL,6,9,0,2,0,0,0,0.0,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
abbotpa01,2001,1,SEA,AL,28,4,0,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0
abernbr01,2001,1,TBA,AL,79,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0
abreubo01,2001,1,PHI,NL,162,588,118,170,48,4,31,110.0,36.0,14.0,106,137.0,11.0,1.0,0.0,9.0,13.0
acevejo01,2001,1,CIN,NL,18,34,1,4,1,0,0,1.0,0.0,0.0,0,18.0,0.0,0.0,2.0,0.0,0.0
aceveju01,2001,1,COL,NL,39,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
aceveju01,2001,2,FLO,NL,20,3,1,1,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
adamste01,2001,1,LAN,NL,43,39,2,2,1,0,0,1.0,0.0,0.0,3,19.0,0.0,0.0,5.0,1.0,0.0
agbaybe01,2001,1,NYN,NL,91,296,28,82,14,2,6,27.0,4.0,5.0,36,73.0,0.0,5.0,1.0,1.0,11.0
ainswku01,2001,1,SFN,NL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
alcanis01,2001,1,BOS,AL,14,38,3,10,1,0,0,3.0,1.0,0.0,3,13.0,0.0,0.0,0.0,0.0,3.0
aldrico01,2001,1,ATL,NL,8,5,1,0,0,0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0
alfonan01,2001,1,FLO,NL,58,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
alfoned01,2001,1,NYN,NL,124,457,64,111,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0
alicelu01,2001,1,KCA,AL,113,387,44,106,16,4,4,32.0,8.0,6.0,23,56.0,0.0,4.0,3.0,1.0,6.0
allench01,2001,1,MIN,AL,57,175,20,46,13,2,4,20.0,1.0,2.0,19,37.0,1.0,0.0,0.0,1.0,7.0
almanar01,2001,1,FLO,NL,52,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
almanca01,2001,1,NYA,AL,10,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
almoner01,2001,1,NYA,AL,8,4,0,2,1,0,0,0.0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
alomaro01,2001,1,CLE,AL,157,575,113,193,34,12,20,100.0,30.0,6.0,80,71.0,5.0,4.0,9.0,9.0,9.0
alomasa02,2001,1,CHA,AL,70,220,17,54,8,1,4,21.0,1.0,2.0,12,17.0,1.0,2.0,3.0,2.0,6.0
aloumo01,2001,1,HOU,NL,136,513,79,170,31,1,27,108.0,5.0,1.0,57,57.0,14.0,3.0,0.0,8.0,18.0
anderbr01,2001,1,BAL,AL,131,430,50,87,12,3,8,45.0,12.0,4.0,60,77.0,4.0,8.0,2.0,1.0,3.0
