Month,NewMonth,Total,Drywhite,Red,Sparkling
1980-01,1980-01-01,15136,1954,464,1686
1980-02,1980-02-01,16733,2302,675,1591
1980-03,1980-03-01,20016,3054,703,2304
1980-04,1980-04-01,17708,2414,887,1712
1980-05,1980-05-01,18019,2226,1139,1471
1980-06,1980-06-01,19227,2725,1077,1377
1980-07,1980-07-01,22893,2589,1318,1966
1980-08,1980-08-01,23739,3470,1260,2453
1980-09,1980-09-01,21133,2400,1120,1984
1980-10,1980-10-01,22591,3180,963,2596
1980-11,1980-11-01,26786,4009,996,4087
1980-12,1980-12-01,29740,3924,960,5179
1981-01,1981-01-01,15028,2072,530,1530
1981-02,1981-02-01,17977,2434,883,1523
1981-03,1981-03-01,20008,2956,894,1633
1981-04,1981-04-01,21354,2828,1045,1976
1981-05,1981-05-01,19498,2687,1199,1170
1981-06,1981-06-01,22125,2629,1287,1480
1981-07,1981-07-01,25817,3150,1565,1781
1981-08,1981-08-01,28779,4119,1577,2472
1981-09,1981-09-01,20960,3030,1076,1981
1981-10,1981-10-01,22254,3055,918,2273
1981-11,1981-11-01,27392,3821,1008,3857
1981-12,1981-12-01,29945,4001,1063,4551
1982-01,1982-01-01,16933,2529,544,1510
1982-02,1982-02-01,17892,2472,635,1329
1982-03,1982-03-01,20533,3134,804,1518
1982-04,1982-04-01,23569,2789,980,1790
1982-05,1982-05-01,22417,2758,1018,1537
1982-06,1982-06-01,22084,2993,1064,1449
1982-07,1982-07-01,26580,3282,1404,1954
1982-08,1982-08-01,27454,3437,1286,1897
1982-09,1982-09-01,24081,2804,1104,1706
1982-10,1982-10-01,23451,3076,999,2514
1982-11,1982-11-01,28991,3782,996,3593
1982-12,1982-12-01,31386,3889,1015,4524
1983-01,1983-01-01,16896,2271,615,1609
1983-02,1983-02-01,20045,2452,722,1638
1983-03,1983-03-01,23471,3084,832,2030
1983-04,1983-04-01,21747,2522,977,1375
1983-05,1983-05-01,25621,2769,1270,1320
1983-06,1983-06-01,23859,3438,1437,1245
1983-07,1983-07-01,25500,2839,1520,1600
1983-08,1983-08-01,30998,3746,1708,2298
1983-09,1983-09-01,24475,2632,1151,2191
1983-10,1983-10-01,23145,2851,934,2511
1983-11,1983-11-01,29701,3871,1159,3440
1983-12,1983-12-01,34365,3618,1209,4923
1984-01,1984-01-01,17556,2389,699,1609
1984-02,1984-02-01,22077,2344,830,1435
1984-03,1984-03-01,25702,2678,996,2061
1984-04,1984-04-01,22214,2492,1124,1789
1984-05,1984-05-01,26886,2858,1458,1567
1984-06,1984-06-01,23191,2246,1270,1404
1984-07,1984-07-01,27831,2800,1753,1597
1984-08,1984-08-01,35406,3869,2258,3159
1984-09,1984-09-01,23195,3007,1208,1759
1984-10,1984-10-01,25110,3023,1241,2504
1984-11,1984-11-01,30009,3907,1265,4273
1984-12,1984-12-01,36242,4209,1828,5274
1985-01,1985-01-01,18450,2353,809,1771
1985-02,1985-02-01,21845,2570,997,1682
1985-03,1985-03-01,26488,2903,1164,1846
1985-04,1985-04-01,22394,2910,1205,1589
1985-05,1985-05-01,28057,3782,1538,1896
1985-06,1985-06-01,25451,2759,1513,1379
1985-07,1985-07-01,24872,2931,1378,1645
1985-08,1985-08-01,33424,3641,2083,2512
1985-09,1985-09-01,24052,2794,1357,1771
1985-10,1985-10-01,28449,3070,1536,3727
1985-11,1985-11-01,33533,3576,1526,4388
1985-12,1985-12-01,37351,4106,1376,5434
1986-01,1986-01-01,19969,2452,779,1606
1986-02,1986-02-01,21701,2206,1005,1523
1986-03,1986-03-01,26249,2488,1193,1577
1986-04,1986-04-01,24493,2416,1522,1605
1986-05,1986-05-01,24603,2534,1539,1765
1986-06,1986-06-01,26485,2521,1546,1403
1986-07,1986-07-01,30723,3093,2116,2584
1986-08,1986-08-01,34569,3903,2326,3318
1986-09,1986-09-01,26689,2907,1596,1562
1986-10,1986-10-01,26157,3025,1356,2349
1986-11,1986-11-01,32064,3812,1553,3987
1986-12,1986-12-01,38870,4209,1613,5891
1987-01,1987-01-01,21337,2138,814,1389
1987-02,1987-02-01,19419,2419,1150,1442
1987-03,1987-03-01,23166,2622,1225,1548
1987-04,1987-04-01,28286,2912,1691,1935
1987-05,1987-05-01,24570,2708,1759,1518
1987-06,1987-06-01,24001,2798,1754,1250
1987-07,1987-07-01,33151,3254,2100,1847
1987-08,1987-08-01,24878,2895,2062,1930
1987-09,1987-09-01,26804,3263,2012,2638
1987-10,1987-10-01,28967,3736,1897,3114
1987-11,1987-11-01,33311,4077,1964,4405
1987-12,1987-12-01,40226,4097,2186,7242
1988-01,1988-01-01,20504,2175,966,1853
1988-02,1988-02-01,23060,3138,1549,1779
1988-03,1988-03-01,23562,2823,1538,2108
1988-04,1988-04-01,27562,2498,1612,2336
1988-05,1988-05-01,23940,2822,2078,1728
1988-06,1988-06-01,24584,2738,2137,1661
1988-07,1988-07-01,34303,4137,2907,2230
1988-08,1988-08-01,25517,3515,2249,1645
1988-09,1988-09-01,23494,3785,1883,2421
1988-10,1988-10-01,29095,3632,1739,3740
1988-11,1988-11-01,32903,4504,1828,4988
1988-12,1988-12-01,34379,4451,1868,6757
1989-01,1989-01-01,16991,2550,1138,1757
1989-02,1989-02-01,21109,2867,1430,1394
1989-03,1989-03-01,23740,3458,1809,1982
1989-04,1989-04-01,25552,2961,1763,1650
1989-05,1989-05-01,21752,3163,2200,1654
1989-06,1989-06-01,20294,2880,2067,1406
1989-07,1989-07-01,29009,3331,2503,1971
1989-08,1989-08-01,25500,3062,2141,1968
1989-09,1989-09-01,24166,3534,2103,2608
1989-10,1989-10-01,26960,3622,1972,3845
1989-11,1989-11-01,31222,4464,2181,4514
1989-12,1989-12-01,38641,5411,2344,6694
1990-01,1990-01-01,14672,2564,970,1720
1990-02,1990-02-01,17543,2820,1199,1321
1990-03,1990-03-01,25453,3508,1718,1859
1990-04,1990-04-01,32683,3088,1683,1628
1990-05,1990-05-01,22449,3299,2025,1615
1990-06,1990-06-01,22316,2939,2051,1457
1990-07,1990-07-01,27595,3320,2439,1899
1990-08,1990-08-01,25451,3418,2353,1605
1990-09,1990-09-01,25421,3604,2230,2424
1990-10,1990-10-01,25288,3495,1852,3116
1990-11,1990-11-01,32568,4163,2147,4286
1990-12,1990-12-01,35110,4882,2286,6047
1991-01,1991-01-01,16052,2211,1007,1902
1991-02,1991-02-01,22146,3260,1665,2049
1991-03,1991-03-01,21198,2992,1642,1874
1991-04,1991-04-01,19543,2425,1518,1279
1991-05,1991-05-01,22084,2707,1831,1432
1991-06,1991-06-01,23816,3244,2207,1540
1991-07,1991-07-01,29961,3965,2822,2214
1991-08,1991-08-01,26773,3315,2393,1857
1991-09,1991-09-01,26635,3333,2306,2408
1991-10,1991-10-01,26972,3583,1785,3252
1991-11,1991-11-01,30207,4021,2047,3627
1991-12,1991-12-01,38687,4904,2171,6153
1992-01,1992-01-01,16974,2252,1212,1577
1992-02,1992-02-01,21697,2952,1335,1667
1992-03,1992-03-01,24179,3573,2011,1993
1992-04,1992-04-01,23757,3048,1860,1997
1992-05,1992-05-01,25013,3059,1954,1783
1992-06,1992-06-01,24019,2731,2152,1625
1992-07,1992-07-01,30345,3563,2835,2076
1992-08,1992-08-01,24488,3092,2224,1773
1992-09,1992-09-01,25156,3478,2182,2377
1992-10,1992-10-01,25650,3478,1992,3088
1992-11,1992-11-01,30923,4308,2389,4096
1992-12,1992-12-01,37240,5029,2724,6119
1993-01,1993-01-01,17466,2075,891,1494
1993-02,1993-02-01,19463,3264,1247,1564
1993-03,1993-03-01,24352,3308,2017,1898
1993-04,1993-04-01,26805,3688,2257,2121
1993-05,1993-05-01,25236,3136,2255,1831
1993-06,1993-06-01,24735,2824,2255,1515
1993-07,1993-07-01,29356,3644,3057,2048
1993-08,1993-08-01,31234,4694,3330,2795
1993-09,1993-09-01,22724,2914,1896,1749
1993-10,1993-10-01,28496,3686,2096,3339
1993-11,1993-11-01,32857,4358,2374,4227
1993-12,1993-12-01,37198,5587,2535,6410
1994-01,1994-01-01,13652,2265,1041,1197
1994-02,1994-02-01,22784,3685,1728,1968
1994-03,1994-03-01,23565,3754,2201,1720
1994-04,1994-04-01,26323,3708,2455,1725
