Respondent_ID,Q1_What_do_you_like_most_about_this_portable_music_player,Q2_What_do_you_like_least_about_this_portable_music_player,REF1_Product,REF2_Age,REF3_Gender,REF4_Music,REF5_Activity
1,"little, light",expensive,Other,25-34,Female,R&B,Working
2,The battery power is great.,The screen is hard to see when outside.,Product E,35-44,Male,Classical,Working
3,cost and size,difficult software,Other,25-34,Female,Rock,Other
4,Having all my CDs in the palm of my hand!,"Nothing, I love it!",Product A,35-44,Female,Folk,Traveling
5,The shuffle mode.,Battery life seems shorter than advertised.,Product A,35-44,Male,Rock,Traveling
6,Battery life. Portability. Accessories. Style.,Ubiquitousness; everyone has one.,Product A,25-34,Male,Rock,Traveling
7,I like its ability to store all of my music. I also like the ability to create playlists.,I wish the 40GB model was still available. I have a 20GB model and need more memory.,Product A,35-44,Male,Jazz,Relaxing
8,"portability, capacity, sound quality, durability",it doesn't have a light.,Other,35-44,Male,Rock,Other
9,"Small, great sound, capacity.",Nothing. I love it.,Product A,25-34,Female,Rock,Traveling
10,Able to hold all of my songs in one place.,It is in the shop due to a hardware failure.,Product A,35-44,Male,Rock,Relaxing
11,It's portable! I can take it anywhere.,smudges on the display,Product A,45-54,Male,Jazz,Traveling
12,Living in my own little world,Battery life,Product A,35-44,Male,Rock,Traveling
13,mobility,Technical difficulties setting it up initially and managing the library of songs on my PC.,Product A,35-44,Female,Other,Traveling
14,"I like that Product A has a lot of storage. Also, the interface is very easy to use.","It is a little heavy, and the battery life isn't long enough.",Product A,25-34,Female,Country,Working
15,It holds a ton of music.,Battery life.,Product A,25-34,Male,Rock,Traveling
16,It's fun to use,nothing,Product A,45-54,Female,R&B,Traveling
17,its cool,battery,Product A,35-44,Male,Rock,Traveling
18,lots of disk space,it was very expensive,Product A,25-34,Female,Country,Traveling
19,Others think it is cool and it sounds great.,I find the controls hard to use.,Product B,<18,Female,Rap,Working
20,lightweight,so small afraid I'll lose it easily,Product A,45-54,Female,Rock,Other
21,easy to use,size,Product D,25-34,Female,Rock,Traveling
22,great accessories,high price,Product A,45-54,Male,Classical,Relaxing
23,i can listen to my music wherever i want. i also like that it is durable/dropable.,i can't change the color of the outside. I wanted red.,Product A,25-34,Female,Rock,Traveling
24,supports standard for lossless compression which offers much higher fidelity.,window scratches easily,Other,>54,Female,Jazz,Traveling
25,very small and holds lots of songs,didn't come with a belt clip,Product C,18-24,Female,Country,Traveling
26,its great. i can share music with my friends and download tons of tunes off the internet.,it is old now and big compared to the ones my friends have. i want a newer thinner one but i can't afford it.,Product A,18-24,Female,Rap,Relaxing
27,I can listen to the old Ludwig Van without anyone interfering with my activities.,it is often mistaken for a cell phone.,Product A,25-34,Male,Rock,Working
28,It offers lots of disk space for all of my CDs.,It is expensive.,Product A,18-24,Male,Rock,Traveling
