indicator/id,indicator/value,country/id,country/value,value,decimal,date
SP.POP.TOTL,"Population, total",CN,China,1392730000,0,2018
SP.POP.TOTL,"Population, total",CN,China,1386395000,0,2017
SP.POP.TOTL,"Population, total",CN,China,1378665000,0,2016
SP.POP.TOTL,"Population, total",CN,China,1371220000,0,2015
SP.POP.TOTL,"Population, total",CN,China,1364270000,0,2014
SP.POP.TOTL,"Population, total",CN,China,1357380000,0,2013
SP.POP.TOTL,"Population, total",CN,China,1350695000,0,2012
SP.POP.TOTL,"Population, total",CN,China,1344130000,0,2011
SP.POP.TOTL,"Population, total",CN,China,1337705000,0,2010
SP.POP.TOTL,"Population, total",CN,China,1331260000,0,2009
SP.POP.TOTL,"Population, total",CN,China,1324655000,0,2008
SP.POP.TOTL,"Population, total",CN,China,1317885000,0,2007
SP.POP.TOTL,"Population, total",CN,China,1311020000,0,2006
SP.POP.TOTL,"Population, total",CN,China,1303720000,0,2005
SP.POP.TOTL,"Population, total",CN,China,1296075000,0,2004
SP.POP.TOTL,"Population, total",CN,China,1288400000,0,2003
SP.POP.TOTL,"Population, total",CN,China,1280400000,0,2002
SP.POP.TOTL,"Population, total",CN,China,1271850000,0,2001
SP.POP.TOTL,"Population, total",CN,China,1262645000,0,2000
SP.POP.TOTL,"Population, total",CN,China,1252735000,0,1999
SP.POP.TOTL,"Population, total",CN,China,1241935000,0,1998
SP.POP.TOTL,"Population, total",CN,China,1230075000,0,1997
SP.POP.TOTL,"Population, total",CN,China,1217550000,0,1996
SP.POP.TOTL,"Population, total",CN,China,1204855000,0,1995
SP.POP.TOTL,"Population, total",CN,China,1191835000,0,1994
SP.POP.TOTL,"Population, total",CN,China,1178440000,0,1993
SP.POP.TOTL,"Population, total",CN,China,1164970000,0,1992
SP.POP.TOTL,"Population, total",CN,China,1150780000,0,1991
SP.POP.TOTL,"Population, total",CN,China,1135185000,0,1990
SP.POP.TOTL,"Population, total",CN,China,1118650000,0,1989
SP.POP.TOTL,"Population, total",CN,China,1101630000,0,1988
SP.POP.TOTL,"Population, total",CN,China,1084035000,0,1987
SP.POP.TOTL,"Population, total",CN,China,1066790000,0,1986
SP.POP.TOTL,"Population, total",CN,China,1051040000,0,1985
SP.POP.TOTL,"Population, total",CN,China,1036825000,0,1984
SP.POP.TOTL,"Population, total",CN,China,1023310000,0,1983
SP.POP.TOTL,"Population, total",CN,China,1008630000,0,1982
SP.POP.TOTL,"Population, total",CN,China,993885000,0,1981
SP.POP.TOTL,"Population, total",CN,China,981235000,0,1980
SP.POP.TOTL,"Population, total",CN,China,969005000,0,1979
SP.POP.TOTL,"Population, total",CN,China,956165000,0,1978
SP.POP.TOTL,"Population, total",CN,China,943455000,0,1977
SP.POP.TOTL,"Population, total",CN,China,930685000,0,1976
SP.POP.TOTL,"Population, total",CN,China,916395000,0,1975
SP.POP.TOTL,"Population, total",CN,China,900350000,0,1974
SP.POP.TOTL,"Population, total",CN,China,881940000,0,1973
SP.POP.TOTL,"Population, total",CN,China,862030000,0,1972
SP.POP.TOTL,"Population, total",CN,China,841105000,0,1971
SP.POP.TOTL,"Population, total",CN,China,818315000,0,1970
SP.POP.TOTL,"Population, total",CN,China,796025000,0,1969
SP.POP.TOTL,"Population, total",CN,China,774510000,0,1968
SP.POP.TOTL,"Population, total",CN,China,754550000,0,1967
SP.POP.TOTL,"Population, total",CN,China,735400000,0,1966
SP.POP.TOTL,"Population, total",CN,China,715185000,0,1965
SP.POP.TOTL,"Population, total",CN,China,698355000,0,1964
SP.POP.TOTL,"Population, total",CN,China,682335000,0,1963
SP.POP.TOTL,"Population, total",CN,China,665770000,0,1962
SP.POP.TOTL,"Population, total",CN,China,660330000,0,1961
SP.POP.TOTL,"Population, total",CN,China,667070000,0,1960
