indicator/id,indicator/value,country/id,country/value,value,decimal,date
SP.POP.TOTL,"Population, total",IN,India,1352617328,0,2018
SP.POP.TOTL,"Population, total",IN,India,1338658835,0,2017
SP.POP.TOTL,"Population, total",IN,India,1324509589,0,2016
SP.POP.TOTL,"Population, total",IN,India,1310152403,0,2015
SP.POP.TOTL,"Population, total",IN,India,1295604184,0,2014
SP.POP.TOTL,"Population, total",IN,India,1280846129,0,2013
SP.POP.TOTL,"Population, total",IN,India,1265782790,0,2012
SP.POP.TOTL,"Population, total",IN,India,1250288729,0,2011
SP.POP.TOTL,"Population, total",IN,India,1234281170,0,2010
SP.POP.TOTL,"Population, total",IN,India,1217726215,0,2009
SP.POP.TOTL,"Population, total",IN,India,1200669765,0,2008
SP.POP.TOTL,"Population, total",IN,India,1183209472,0,2007
SP.POP.TOTL,"Population, total",IN,India,1165486291,0,2006
SP.POP.TOTL,"Population, total",IN,India,1147609927,0,2005
SP.POP.TOTL,"Population, total",IN,India,1129623456,0,2004
SP.POP.TOTL,"Population, total",IN,India,1111523144,0,2003
SP.POP.TOTL,"Population, total",IN,India,1093317189,0,2002
SP.POP.TOTL,"Population, total",IN,India,1075000085,0,2001
SP.POP.TOTL,"Population, total",IN,India,1056575549,0,2000
SP.POP.TOTL,"Population, total",IN,India,1038058156,0,1999
SP.POP.TOTL,"Population, total",IN,India,1019483581,0,1998
SP.POP.TOTL,"Population, total",IN,India,1000900030,0,1997
SP.POP.TOTL,"Population, total",IN,India,982365243,0,1996
SP.POP.TOTL,"Population, total",IN,India,963922588,0,1995
SP.POP.TOTL,"Population, total",IN,India,945601831,0,1994
SP.POP.TOTL,"Population, total",IN,India,927403860,0,1993
SP.POP.TOTL,"Population, total",IN,India,909307016,0,1992
SP.POP.TOTL,"Population, total",IN,India,891273209,0,1991
SP.POP.TOTL,"Population, total",IN,India,873277798,0,1990
SP.POP.TOTL,"Population, total",IN,India,855334678,0,1989
SP.POP.TOTL,"Population, total",IN,India,837468930,0,1988
SP.POP.TOTL,"Population, total",IN,India,819682102,0,1987
SP.POP.TOTL,"Population, total",IN,India,801975244,0,1986
SP.POP.TOTL,"Population, total",IN,India,784360008,0,1985
SP.POP.TOTL,"Population, total",IN,India,766833410,0,1984
SP.POP.TOTL,"Population, total",IN,India,749428958,0,1983
SP.POP.TOTL,"Population, total",IN,India,732239504,0,1982
SP.POP.TOTL,"Population, total",IN,India,715384993,0,1981
SP.POP.TOTL,"Population, total",IN,India,698952844,0,1980
SP.POP.TOTL,"Population, total",IN,India,682995354,0,1979
SP.POP.TOTL,"Population, total",IN,India,667499806,0,1978
SP.POP.TOTL,"Population, total",IN,India,652408776,0,1977
SP.POP.TOTL,"Population, total",IN,India,637630087,0,1976
SP.POP.TOTL,"Population, total",IN,India,623102897,0,1975
SP.POP.TOTL,"Population, total",IN,India,608802600,0,1974
SP.POP.TOTL,"Population, total",IN,India,594770134,0,1973
SP.POP.TOTL,"Population, total",IN,India,581087256,0,1972
SP.POP.TOTL,"Population, total",IN,India,567868018,0,1971
SP.POP.TOTL,"Population, total",IN,India,555189792,0,1970
SP.POP.TOTL,"Population, total",IN,India,543084336,0,1969
SP.POP.TOTL,"Population, total",IN,India,531513824,0,1968
SP.POP.TOTL,"Population, total",IN,India,520400576,0,1967
SP.POP.TOTL,"Population, total",IN,India,509631500,0,1966
SP.POP.TOTL,"Population, total",IN,India,499123324,0,1965
SP.POP.TOTL,"Population, total",IN,India,488848135,0,1964
SP.POP.TOTL,"Population, total",IN,India,478825608,0,1963
SP.POP.TOTL,"Population, total",IN,India,469077190,0,1962
SP.POP.TOTL,"Population, total",IN,India,459642165,0,1961
SP.POP.TOTL,"Population, total",IN,India,450547679,0,1960
