indicator/id,indicator/value,country/id,country/value,value,decimal,date
SP.POP.TOTL,"Population, total",US,United States,327167434,0,2018
SP.POP.TOTL,"Population, total",US,United States,325147121,0,2017
SP.POP.TOTL,"Population, total",US,United States,323071342,0,2016
SP.POP.TOTL,"Population, total",US,United States,320742673,0,2015
SP.POP.TOTL,"Population, total",US,United States,318386421,0,2014
SP.POP.TOTL,"Population, total",US,United States,316057727,0,2013
SP.POP.TOTL,"Population, total",US,United States,313874218,0,2012
SP.POP.TOTL,"Population, total",US,United States,311580009,0,2011
SP.POP.TOTL,"Population, total",US,United States,309326085,0,2010
SP.POP.TOTL,"Population, total",US,United States,306771529,0,2009
SP.POP.TOTL,"Population, total",US,United States,304093966,0,2008
SP.POP.TOTL,"Population, total",US,United States,301231207,0,2007
SP.POP.TOTL,"Population, total",US,United States,298379912,0,2006
SP.POP.TOTL,"Population, total",US,United States,295516599,0,2005
SP.POP.TOTL,"Population, total",US,United States,292805298,0,2004
SP.POP.TOTL,"Population, total",US,United States,290107933,0,2003
SP.POP.TOTL,"Population, total",US,United States,287625193,0,2002
SP.POP.TOTL,"Population, total",US,United States,284968955,0,2001
SP.POP.TOTL,"Population, total",US,United States,282162411,0,2000
SP.POP.TOTL,"Population, total",US,United States,279040000,0,1999
SP.POP.TOTL,"Population, total",US,United States,275854000,0,1998
SP.POP.TOTL,"Population, total",US,United States,272657000,0,1997
SP.POP.TOTL,"Population, total",US,United States,269394000,0,1996
SP.POP.TOTL,"Population, total",US,United States,266278000,0,1995
SP.POP.TOTL,"Population, total",US,United States,263126000,0,1994
SP.POP.TOTL,"Population, total",US,United States,259919000,0,1993
SP.POP.TOTL,"Population, total",US,United States,256514000,0,1992
SP.POP.TOTL,"Population, total",US,United States,252981000,0,1991
SP.POP.TOTL,"Population, total",US,United States,249623000,0,1990
SP.POP.TOTL,"Population, total",US,United States,246819000,0,1989
SP.POP.TOTL,"Population, total",US,United States,244499000,0,1988
SP.POP.TOTL,"Population, total",US,United States,242289000,0,1987
SP.POP.TOTL,"Population, total",US,United States,240133000,0,1986
SP.POP.TOTL,"Population, total",US,United States,237924000,0,1985
SP.POP.TOTL,"Population, total",US,United States,235825000,0,1984
SP.POP.TOTL,"Population, total",US,United States,233792000,0,1983
SP.POP.TOTL,"Population, total",US,United States,231664000,0,1982
SP.POP.TOTL,"Population, total",US,United States,229466000,0,1981
SP.POP.TOTL,"Population, total",US,United States,227225000,0,1980
SP.POP.TOTL,"Population, total",US,United States,225055000,0,1979
SP.POP.TOTL,"Population, total",US,United States,222585000,0,1978
SP.POP.TOTL,"Population, total",US,United States,220239000,0,1977
SP.POP.TOTL,"Population, total",US,United States,218035000,0,1976
SP.POP.TOTL,"Population, total",US,United States,215973000,0,1975
SP.POP.TOTL,"Population, total",US,United States,213854000,0,1974
SP.POP.TOTL,"Population, total",US,United States,211909000,0,1973
SP.POP.TOTL,"Population, total",US,United States,209896000,0,1972
SP.POP.TOTL,"Population, total",US,United States,207661000,0,1971
SP.POP.TOTL,"Population, total",US,United States,205052000,0,1970
SP.POP.TOTL,"Population, total",US,United States,202677000,0,1969
SP.POP.TOTL,"Population, total",US,United States,200706000,0,1968
SP.POP.TOTL,"Population, total",US,United States,198712000,0,1967
SP.POP.TOTL,"Population, total",US,United States,196560000,0,1966
SP.POP.TOTL,"Population, total",US,United States,194303000,0,1965
SP.POP.TOTL,"Population, total",US,United States,191889000,0,1964
SP.POP.TOTL,"Population, total",US,United States,189242000,0,1963
SP.POP.TOTL,"Population, total",US,United States,186538000,0,1962
SP.POP.TOTL,"Population, total",US,United States,183691000,0,1961
SP.POP.TOTL,"Population, total",US,United States,180671000,0,1960
